Level2	G5R2_MAIN_09MAY2016_LD1	G5R4_NF_09MAY2016_LD1	G5R1_NF_09MAY2016_LD1	G5R2_NF_09MAY2016_LD1	G5R4_MAIN_09MAY2016_LD1	G5R1_MAIN_09MAY2016_LD1	G5R3_NF_09MAY2016_LD1	G6R1_MAIN_09MAY2016_LD1	G5R3_MAIN_09MAY2016_LD1	G6R3_MAIN_09MAY2016_LD1	G6R1_NF_09MAY2016_LD1	G6R2_MAIN_09MAY2016_LD1	G6R4_NF_09MAY2016_LD1	G6R2_NF_09MAY2016_LD1	G6R4_MAIN_09MAY2016_LD1	G6R3_NF_09MAY2016_LD1	G6R1_MAIN_31MAY2016_LD1	G5R1_MAIN_31MAY2016_LD1	G5R4_MAIN_31MAY2016_LD1	G5R4_NF_31MAY2016_LD1	G5R2_MAIN_31MAY2016_LD1	G5R1_NF_31MAY2016_LD1	G5R2_NF_31MAY2016_LD1	G5R3_NF_31MAY2016_LD1	G6R2_NF_31MAY2016_LD1	G6R3_MAIN_31MAY2016_LD1	G6R1_NF_31MAY2016_LD1	G6R4_MAIN_31MAY2016_LD1	G6R2_MAIN_31MAY2016_LD1	G6R4_NF_31MAY2016_LD1	G5R3_MAIN_31MAY2016_LD1	G6R3_NF_31MAY2016_LD1	G6R3_NF_20JUN2016_LD1	G6R3_MAIN_20JUN2016_LD1	G6R4_NF_20JUN2016_LD1	G6R2_MAIN_20JUN2016_LD1	G6R4_MAIN_20JUN2016_LD1	G6R2_NF_20JUN2016_LD1	G6R1_MAIN_20JUN2016_LD1	G5R4_NF_20JUN2016_LD1	G5R4_MAIN_20JUN2016_LD1	G5R3_NF_20JUN2016_LD1	G5R1_MAIN_20JUN2016_LD1	G5R3_MAIN_20JUN2016_LD1	G5R2_NF_20JUN2016_LD1	G5R2_MAIN_20JUN2016_LD1	G6R1_NF_20JUN2016_LD1	G5R1_NF_20JUN2016_LD1	G5R4_NF_12JUL2016_LD1	G5R2_NF_12JUL2016_LD1	G5R2_MAIN_12JUL2016_LD1	G5R1_MAIN_12JUL2016_LD1	G5R4_MAIN_12JUL2016_LD1	G5R3_NF_12JUL2016_LD1	G5R1_NF_12JUL2016_LD1	G6R2_NF_12JUL2016_LD1	G6R4_NF_12JUL2016_LD1	G6R4_MAIN_12JUL2016_LD1	G6R1_NF_12JUL2016_LD1	G6R1_MAIN_12JUL2016_LD1	G6R3_MAIN_12JUL2016_LD1	G6R3_NF_12JUL2016_LD1	G5R3_MAIN_12JUL2016_LD1	G6R2_MAIN_12JUL2016_LD1	G6R1_MAIN_01AUG2016_LD1	G5R3_NF_01AUG2016_LD1	G5R4_NF_01AUG2016_LD1	G5R2_MAIN_01AUG2016_LD1	G6R4_NF_01AUG2016_LD1	G6R2_NF_01AUG2016_LD1	G6R2_MAIN_01AUG2016_LD1	G6R4_MAIN_01AUG2016_LD1	G5R1_MAIN_01AUG2016_LD1	G6R3_MAIN_01AUG2016_LD1	G5R2_NF_01AUG2016_LD1	G5R4_MAIN_01AUG2016_LD1	G5R1_NF_01AUG2016_LD1	G6R1_NF_01AUG2016_LD1	G5R3_MAIN_01AUG2016_LD1	G6R3_NF_01AUG2016_LD1	G5R3_MAIN_22AUG2016_LD1	G5R1_NF_22AUG2016_LD1	G5R2_NF_22AUG2016_LD1	G5R4_NF_22AUG2016_LD1	G5R2_MAIN_22AUG2016_LD1	G6R1_MAIN_22AUG2016_LD1	G6R3_MAIN_22AUG2016_LD1	G5R1_MAIN_22AUG2016_LD1	G6R3_NF_22AUG2016_LD1	G6R1_NF_22AUG2016_LD1	G6R2_NF_22AUG2016_LD1	G6R2_MAIN_22AUG2016_LD1	G6R4_MAIN_22AUG2016_LD1	G5R3_NF_22AUG2016_LD1	G5R4_MAIN_22AUG2016_LD1	G6R4_NF_22AUG2016_LD1	G5R2_NF_12SEP2016_LD1	G5R2_MAIN_12SEP2016_LD1	G5R1_MAIN_12SEP2016_LD1	G5R4_NF_12SEP2016_LD1	G5R1_NF_12SEP2016_LD1	G6R2_MAIN_12SEP2016_LD1	G5R3_MAIN_12SEP2016_LD1	G5R3_NF_12SEP2016_LD1	G6R2_NF_12SEP2016_LD1	G6R1_MAIN_12SEP2016_LD1	G6R3_NF_12SEP2016_LD1	G6R4_MAIN_12SEP2016_LD1	G6R3_MAIN_12SEP2016_LD1	G6R1_NF_12SEP2016_LD1	G6R4_NF_12SEP2016_LD1	G5R4_MAIN_12SEP2016_LD1	G5R1_MAIN_03OCT2016_LD1	G5R2_NF_03OCT2016_LD1	G5R2_MAIN_03OCT2016_LD1	G5R4_MAIN_03OCT2016_LD1	G5R3_MAIN_03OCT2016_LD1	G5R1_NF_03OCT2016_LD1	G5R3_NF_03OCT2016_LD1	G5R4_NF_03OCT2016_LD1	G6R3_NF_03OCT2016_LD1	G6R4_NF_03OCT2016_LD1	G6R4_MAIN_03OCT2016_LD1	G6R3_MAIN_03OCT2016_LD1	G6R1_MAIN_03OCT2016_LD1	G6R1_NF_03OCT2016_LD1	G6R2_NF_03OCT2016_LD1	G6R2_MAIN_03OCT2016_LD1	G6R4_MAIN_07NOV2016_LD1	G6R2_NF_07NOV2016_LD1	G6R1_MAIN_07NOV2016_LD1	G6R1_NF_07NOV2016_LD1	G6R3_MAIN_07NOV2016_LD1	G6R2_MAIN_07NOV2016_LD1	G6R4_NF_07NOV2016_LD1	G6R3_NF_07NOV2016_LD1
Amino acid metabolism	237.71371209826063	258.11028045993254	257.0389038774962	273.2272463490152	222.52165424102188	230.8013133002042	256.7898330189912	241.8651935899101	111.7222953186899	252.07992401328704	44.751182611958086	189.0053994839184	246.64468033852995	255.3064232097581	230.3748974799637	129.5825945300992	242.17433643894324	142.08560305328584	111.609618287638	128.8270133758732	110.3487149296777	253.14255391176465	89.13145111174964	67.90034606058444	245.1283696235284	244.70920591417035	262.0015606824301	238.16681522262456	239.31810033004373	233.57812480373494	19.399067809878353	240.2470865706718	230.4423539580189	234.36767928238433	214.97021773477005	228.819896969945	211.35961832593551	223.24776807280892	240.13224952033204	268.6330641327098	245.52963942926164	226.62661375351692	231.20332184054783	127.457127269854	259.8935091305938	258.5119070782809	247.26563988424596	240.7114004922978	253.60462490404993	243.9127303330656	245.87395976946536	255.83485148306792	249.9453743994346	237.53231209535028	244.62791043496279	251.70119949445734	220.4430996529822	232.3414703894852	243.49145099187302	241.25161987180707	252.4703364135001	221.92727712211646	234.44790566205805	246.80621585435534	214.38870135578964	224.14071715291317	231.71229217908427	215.52782915325736	199.79206200017788	211.41796342353067	207.9808438902526	209.19716754195758	228.93937277545302	211.79574680604267	224.68354975453946	225.8210419474362	219.09590957696693	216.10173461557517	221.38685510974946	193.9467685847235	198.07772882765082	201.68145104083604	208.14761699280794	212.70450041540568	198.2830134999058	203.0059096057123	208.71959661711466	202.80749172007359	199.69043679687155	205.74154878430724	202.3309348452241	203.2627036790682	202.6301063043672	200.3313170709025	198.12478201879605	205.98117828921747	200.73694686785768	198.60493388206743	194.83177898539847	200.47435941846734	199.25722473341375	203.8925689949415	197.1920420467438	194.67662752689543	207.2364524813312	200.59224455267054	203.59977413816978	199.07146499137775	199.92580607830658	202.5440441602793	203.9734590227024	193.98699797734798	193.43823598034533	194.13434808052546	192.78541170319104	193.51321632400126	192.54247790373722	194.0230144008585	194.2595694695768	193.34921103095203	208.763614322369	195.23249289245464	198.5340003552039	206.06304805003126	209.90378670689896	206.01222415667667	203.7463324829372	200.18247728127565	190.5774434196208	188.9097872041011	191.9632890452042	193.56749888084533	189.36963316984873	189.77033979033448	189.7520050734037	191.40218801956544
Biosynthesis of other secondary metabolites	90.47246972858169	42.496782519920814	66.7839720594859	45.65433299669006	38.66123756657082	22.126604204459582	83.21710445962376	57.21211341756801	0.0	0.0	0.0	0.0	60.901877363866234	79.88160075074569	88.3166211761884	0.0	74.84475157956604	21.120829875731122	0.0	0.0	0.0	95.59633993588679	0.0	0.0	40.645972108662036	110.52542439486774	81.73072901676402	77.9108135467212	19.470901142676663	105.82603241091465	0.0	55.69565472105773	89.09535949962623	91.02680700243539	97.99671981834254	105.28873567370559	98.65847302201877	103.05446067977537	73.24250906905647	61.43408964366739	111.52660224672633	86.7358829408585	88.55449968272839	19.63880442889591	54.632984438863105	59.44170583690759	112.69878306519112	94.24229128354922	75.69893616217675	94.32704270644443	96.0542958687065	79.46334060193887	99.29745435391801	90.34655065958233	75.0453164248172	115.214875470486	102.3318732236333	88.88687596110688	93.23530957747478	111.88640386064871	97.41035683976861	86.7201706772259	71.36537763788316	96.81570226609722	81.47257482245747	89.63182205359291	89.9258411271403	84.38031421286585	91.13707132863706	99.29852757423645	97.77363798017667	82.9646005546015	88.80920995430537	81.19089551212431	87.49160683934198	89.66242026757511	83.9678609097343	82.86303049861239	104.42156510599641	90.1326112772982	94.41667138784622	94.48722496885043	96.51364066163266	82.59238221068476	92.26278799363206	94.35300854145493	80.73053932948486	78.68069736457784	93.07135245443295	97.30300346963362	93.86607975676861	95.1009045097507	93.76912712988185	93.43133420319097	94.48682366170603	94.3841574647679	93.66749991620594	92.31889071297532	91.39653270182347	93.83838745705647	76.25054442824123	95.39539419532613	91.34865911525205	90.2557626796326	80.0081972820528	92.48738925913881	94.64455679527593	94.08304936863718	93.32569414075247	96.44769703324162	94.42915778453846	90.16045994089595	90.56784425447653	90.02441430928374	89.32099834319246	90.22417362283761	90.23796959528457	90.5545062207201	90.23168448699366	90.69088144814847	81.2716501486826	90.7339360206513	93.43308301912738	96.11348204409886	78.6473426677696	79.20655051690781	95.36101964669436	93.9851536239847	89.32143087166604	89.0357914756995	89.5205499425958	89.78864178843529	88.69951086827237	88.58542027298131	88.66238793664724	89.57116897080016
Carbohydrate metabolism	278.1283594723406	288.85670334508285	338.19896716345295	222.80548578424768	236.8070129460391	303.2689454092725	294.39988952208415	284.78406370445464	196.08596433706072	248.46321405596152	89.38959762967656	254.48271331651438	267.9927452027446	295.9285196876728	271.21602629303266	174.31918058004538	285.81464757888943	251.67050053624988	64.46542981673608	156.30296865015606	156.47393882204733	299.8329408812169	196.93722322885836	110.52901291336511	274.3453554841277	276.8113143185036	296.8693349443275	279.05707922459345	304.7423090762895	264.6490792032792	156.09589536167385	283.1223504506446	264.5345878781555	274.7524077787229	249.81040314911584	261.42499273989694	241.62515556063343	255.80506473525458	272.8301721980164	286.8421656992843	283.86903894810405	262.4678764285583	267.7037322107961	150.64786016627798	267.1793802975141	275.245698401433	286.56891946288266	286.6916800246668	274.71167998981457	281.4401767118699	284.95320799780006	293.1656398402478	269.774194788458	269.6709712288879	282.64503970857015	286.07046036661876	254.07162047641657	263.5706448166035	277.787558027297	274.76575727904276	280.85158581649785	256.26942836487785	275.0355384793566	284.89136450125466	247.2099844919615	257.6302547114534	264.5654394477328	247.97924366080775	229.1793733546391	243.32485219442566	240.23388138919404	240.44023431467468	262.5392451449565	242.64313628741368	258.42989458727214	260.49286079287555	251.14112365909767	249.58886069421027	252.79138558815816	224.58024446592302	227.54747668699952	232.59614592028475	238.06566432909378	243.7051101832448	226.59773927377503	236.05634852063292	240.50098036718157	232.46433179417562	230.46221411529845	237.76079288256636	234.52264870868612	234.00025634188347	232.8736477777179	229.3795068204726	228.09532032753842	237.78511037098968	232.09950939900742	228.63286445039876	224.29433070182984	231.15034981217698	229.01565548049808	234.76904518376836	227.18189804457268	224.31264442486278	238.1123261086162	230.49197828691277	234.05388950770126	228.02978679130536	229.88944125061232	233.31678596502672	233.91762070269272	223.49782282449468	223.12294882983562	224.402288676326	222.9411726267686	223.31700348475573	222.39336403093012	223.92254139802645	224.2979539861556	223.5243368297497	239.92536739789492	224.82167706870655	228.31783911498889	237.0277044987475	241.70491032020686	236.03179098631568	234.33262828347551	230.42600349912865	219.73343672937065	218.41783799613103	221.35667299445797	222.4128746152287	218.65409305617516	219.0362866981695	219.16943747448744	219.8423335781264
Cell growth and death	37.954021102174536	0.0	40.70353061465042	0.0	0.0	39.13375195751645	39.47188562156512	33.981340755470924	0.0	0.0	0.0	0.0	0.0	38.635796167533265	37.33277975682726	0.0	42.498925219556995	0.0	0.0	0.0	0.0	37.253587405685984	0.0	0.0	0.0	37.73888408555542	38.16233917838015	39.82866053140408	0.0	37.862409720259784	0.0	37.885034013978405	39.50362054806371	34.63847307652237	33.74089132140882	37.074401393294316	34.673206198719676	34.30628501943886	0.0	0.0	38.78393722228863	35.299826608045585	36.71864389380032	0.0	0.0	35.38929438675928	38.64877508400174	0.0	0.0	38.20418258903415	37.69362643132159	0.0	0.0	38.23386462862324	36.912736754828536	37.770248026231044	34.25951348987054	34.66556354322441	36.561958384235844	37.29519515559905	0.0	33.46912793243248	0.0	0.0	33.57347359772604	35.03084776530792	35.55842052765272	33.475655310070664	31.515224411701357	33.21426164070879	31.752747309211586	32.271259430296126	37.056154068593365	33.56142213928194	34.87418734556892	34.9321919683227	33.64174166401141	34.36110612968016	34.03704474040309	30.805365594253495	30.269045728929495	31.780581902015015	32.92252335260175	33.33351397741292	31.155965884543996	31.992083358733353	31.723854220076753	31.339945395801337	31.157871310163152	32.18818071058988	30.880310432107052	31.02710555833135	30.57867400495267	31.80470913519309	30.66214307814636	31.675471014540072	31.246494534856062	30.075469385606187	29.99384566102377	31.40354717018095	30.52206863392858	30.726185260282076	30.152321691814176	30.089123142279192	31.519075312535715	30.247670687778715	30.9467362517766	29.865101102745967	30.154035277397025	30.832058901466	31.146257048664573	29.75964663859558	29.83588097667018	29.914604409615453	29.68358585530691	29.726313806428596	29.783171845544363	30.03203928792548	29.69158990149639	29.98120764050932	32.293798218972604	29.525938677086295	29.97983334014164	31.353697320433803	31.417122807503986	31.808001824604915	31.062037141229634	30.42205839610855	29.36300304928385	28.73210213980894	29.186015229070808	29.281181787262113	28.851001856807933	28.79119272753783	28.767064493123225	28.84428620693728
Cell motility	18.212028036095973	0.0	21.23203640082112	0.0	0.0	20.82546051910671	22.120632295567386	0.0	0.0	0.0	0.0	0.0	0.0	18.26728455021256	17.988677694323506	0.0	17.90419753022727	17.965199287126577	0.0	0.0	0.0	18.966622818638694	0.0	0.0	0.0	18.724318397416443	19.101092463324587	19.69822412989687	0.0	19.651805538525043	0.0	16.93156997981134	16.962639124553355	18.31274000391985	16.480345220440054	17.376784834134384	16.84385988622716	17.55457083480697	18.172527421006063	0.0	19.018666569763518	17.059832788763003	17.726740738088356	0.0	19.244400904173645	0.0	19.376877693751794	18.205252236906958	0.0	19.382921434603073	18.93860457628757	19.534371667686546	18.439325568579516	17.729994616586268	20.071667503721457	18.358426150461	17.42309539802	17.30200271688401	17.920465830623193	18.17087884639283	18.846893887651337	16.966262836956776	18.343760064470455	18.145467016624927	15.926323037351859	16.867890327197	18.052972214316828	16.088416750510124	15.520624883399169	16.65159713176139	15.83971732129738	15.686824504529861	17.531343798914794	15.844435412741348	16.96667391776681	16.870701266277567	16.82681306958685	16.723503388551602	16.685668907970022	14.81178877098086	14.862469251519075	14.841586772395669	15.45002736510831	15.863001084438405	15.162561898394374	15.06232912446586	15.331349314722068	15.002315956408001	14.829769305519287	15.278878189447502	14.892136064588662	14.80658214868206	15.009529170888996	15.074300902867844	14.669378105429944	15.30365536583607	15.251421863889272	15.1049078602538	15.021232307938678	15.094027011277598	15.106400944178368	15.048651822134655	15.268935512147834	15.110585936864819	15.345578594270233	15.353303320079485	15.115670046618439	14.934335016573659	14.803520345650428	14.887452154581108	15.265689732769268	15.022016675634845	15.08561596670622	15.044458656144867	15.05744675773914	15.002204584583666	15.116644913687301	15.067107711445873	15.171567727521207	14.724569638839847	15.748363348685329	14.735085154310363	14.952266427786556	15.41332775995883	15.950421219384353	15.498340657119863	15.291631285985071	15.117767427895627	14.583822067837419	14.31657080705683	14.697331112702235	14.749969464741161	14.383511107096353	14.318363781452632	14.252720588034189	14.184146246748636
Cellular community	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.6309092913474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.116349991021785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.969182238357677	0.0	16.293577101060695	15.992427113307235	0.0	0.0	15.752790708850439	14.96904178441489	0.0	15.752358046902348	0.0	14.656499820090632	0.0	16.58861624521822	15.202168869821307	16.22665540991434	0.0	0.0	19.373036378108658	15.931231267762325	0.0	14.16661805085123	15.321034746055677	15.197116125388739	0.0	15.555067472016432	13.285708080040783	13.516454817412265	0.0	17.482036830570667	14.202994391062292	14.540826864420517	16.267170098718946	15.431996759396759	14.885562880193065	15.317047710718574	13.705312571856249	15.761931004835505	15.347093230305251	13.192236425921546	0.0	13.456406612674277	14.444238979474763	13.751592214218757	13.709168727975111	13.150883050521164	14.805452422100291	15.387654763448392	16.257874339133085	15.404708460796332	15.38873969855134	16.137301138167544	15.875778470881475	15.718499630051955	14.752725376168465	15.781462708745888	13.234699513523372	14.260626103547994	16.035722751999902	0.0	15.411846240074231	14.345344157422376	15.31229723734859	13.715263424696158	13.624549283579784	14.081521000548328	13.631425207945739	14.211616893494877	15.15948892540403	13.321829731854045	12.94279478343748
Digestive system	17.9951279046112	16.572518512835938	0.0	0.0	0.0	0.0	0.0	0.0	17.898316376264646	0.0	0.0	0.0	0.0	19.01341309982592	17.044742035719683	0.0	0.0	0.0	0.0	0.0	18.26789116244688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.97938749022998	17.303244131389942	0.0	0.0	16.22154853891973	0.0	16.310107524384385	17.316260873960257	31.84076550981019	16.430773432653	17.15990035962782	0.0	18.049939392444312	17.201427951650903	17.50552700596784	0.0	0.0	17.66830875204982	17.913210934270538	0.0	0.0	17.58834787854966	15.179171068021349	0.0	0.0	16.6230155250295	17.512100596866276	18.895315010361273	16.635182131171323	17.074647427037654	0.0	0.0	17.7799070704591	32.294029354699745	0.0	18.634274598046108	16.604330385783044	16.20534414075164	17.751410111473863	33.76252670600206	31.4248533476662	16.505138894322734	15.628972509516483	16.470703942925073	17.438934618775825	15.84026091694314	17.4251917238658	33.88039139998213	16.90335495591319	17.02340380530734	17.69737659185718	31.187908680327318	15.31914537597503	32.500471882075225	16.72581738280669	32.75100491295191	31.09190140541154	33.2967953838279	16.46072136921776	32.42967330689735	31.7807378766544	33.67654575855974	15.38858376751116	16.493252177022843	31.213458383494917	30.213474095802205	15.368695553350518	16.215772418520892	32.3945303633288	31.54346245760025	31.802802692382066	48.39432361228601	32.36568128499425	33.38841168989211	32.44315109240308	47.279659855577336	16.09518412815705	33.937921663721774	32.66046975564901	30.798174631638027	15.413690661721791	16.210917024865658	15.904421294667316	48.863460476639005	31.116060535251087	31.270142129539288	47.855223462931335	47.09799594868249	45.464452659638425	31.50729078943972	49.34188838140361	31.2155871986455	32.730196292800514	31.146346186229778	46.40125576028857	31.70162613759861	16.425647220556343	31.897936381364932	15.75064637201378	32.045969978105994	48.12140233555509	14.630670651636425	31.234091822076056	31.28829609549101	14.599159997816043	29.943098889270928	33.33996260252665	50.125703265122
Energy metabolism	128.10619694971396	136.3982619981756	130.25012152179733	109.60040496830382	81.8867722392992	107.9582434727127	138.18957274251233	126.0948943140397	22.03890587507462	83.09968309939472	45.254487488344054	84.82008956205269	103.66969706269022	137.40369397873357	123.69342573128347	86.06966885412338	132.43880926351216	104.75567511531445	44.502083986105305	47.03552150194969	108.5302775226922	133.83258195360222	62.890751980383456	42.32504491734484	116.95568960641315	129.77956567691194	139.3706623758008	111.15554459394082	140.3307292400188	126.0353365542745	47.07497208893352	127.75751422738317	120.64123626413212	125.51811031615883	116.18531852851504	122.55656914216519	114.33940363841921	119.04786103003198	126.9985152363538	123.97694350358265	113.26772238421924	122.40396064659394	125.2928267247143	103.31021867832169	119.8308067992187	99.15583055037341	133.4267254980948	128.16686057384092	132.77118387810256	130.57649138611126	111.43119944757196	132.1857193644011	132.05581060618454	127.03812011747235	128.3682881522086	132.30482627158955	118.22214575716654	121.43293383446797	130.2171615975349	127.62617715504398	129.64714888685185	118.03663932888588	126.8092789137458	111.50916234200777	113.7554720695383	117.90940925710348	121.79554637026736	114.9333911781209	106.95291376795029	112.11440309501582	110.99201822488153	109.7417341830001	120.97707375624836	112.23126792559857	118.42080648200127	119.70760121720795	115.13952234760124	115.59770571843123	117.56189551622404	103.35376604813744	104.86939880570542	107.68711950972971	110.02630017749362	112.96724397506563	106.2322736152966	106.91005857237663	109.00712315926326	107.19016820863851	104.5129380921974	107.61864793201555	107.04775852653138	106.45702216334678	106.10499262626708	107.30682624552504	105.0090149181284	107.64527401057168	107.03261562966274	105.30772875419636	103.46925432900954	106.29105303585148	105.93430924248652	106.91670566355334	105.0048959192318	103.86569265207362	108.19676484494454	106.18384216668548	106.60582462526304	104.447127747347	104.85181016612998	105.86689452681759	106.8899658770023	103.20043945395814	103.31785952973273	103.8233995507114	103.25799988637374	103.49469069110674	103.03123916262292	103.5486165018934	104.18188584353082	103.10953397251043	110.255499509964	103.32988339246852	104.99303162958367	108.9220410555637	111.52833749091202	109.34187444233339	107.68300977098784	106.75534673593549	100.82310077826668	99.93033987334238	101.63386798666313	101.98813523424786	100.27583057615026	100.23314479255548	100.0168531742551	100.49054847975614
Folding, sorting and degradation	16.935969825013768	0.0	0.0	0.0	0.0	0.0	18.404224300477864	17.956399647277312	0.0	0.0	0.0	0.0	0.0	17.82310126502012	16.34930026470644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.06167903578374	16.670719102756745	17.309334295566536	0.0	0.0	0.0	17.924315742985446	17.48825342751672	18.5414630242737	15.997183263661968	0.0	15.881451079767087	17.385951885064667	16.48046829052101	0.0	19.84510630315749	16.465976917019553	17.10603742343355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.971106502144924	18.66798432571486	0.0	17.621264272108586	17.308695383828972	20.291031658260007	0.0	16.597429247050734	0.0	16.93218191066821	0.0	18.461860112410236	17.09923410603316	19.15140126194732	16.7989181468023	32.38040612162355	32.981388465594804	0.0	16.37978551983483	16.91919459336289	17.042006087983122	16.043462918332313	35.47004847950132	16.608590430389185	16.413013456082997	16.51820213658022	33.5998470638111	14.251389200034684	31.78100085486227	15.625378459094284	31.462981216254505	34.12484247583852	32.586178512225814	16.98608699600929	33.655207951681746	33.445910568650966	32.07089937991968	17.897459561420536	32.00351918488926	33.526302874052305	33.233062597829594	32.85470522525919	31.484036836917745	33.240697436422224	31.68653131408387	31.878408100108196	30.605089189621484	31.764632656119957	32.58832067829126	32.93449328845627	31.14181992220017	30.587106319210136	32.71195641916941	31.247297115837696	32.887709899213945	30.896151542277373	32.11153463612242	31.98618110559649	33.7701685700545	30.81861505810591	30.883953527662555	31.697717122475915	30.584812184006427	30.347459878128866	29.954621444435233	31.45283357831719	30.959007724296278	32.68403889253186	32.216195544217186	30.039504295731643	30.48719559403328	31.174750614301914	32.955268940575905	32.528191312118516	31.991854989808544	32.56060835207751	28.92952861302497	29.247100992744492	29.53291924654941	29.934590438504806	28.42557014082248	28.834985699440416	29.397738215776855	30.45194303032357
Global and overview maps	54.618068295680004	38.90255965403534	44.957841530352816	45.02848562894338	43.33587724237522	43.2297496372929	39.10899866861541	53.887171603335204	45.76794955709147	59.80012726959789	46.671886568583076	42.765049395782995	57.80998144974106	39.17881902506979	52.29718174189608	44.58996178064092	55.126486506520465	41.0392909123789	46.45384326041214	45.81897488844454	46.12486692588625	56.53874345584093	45.86209891251011	46.50080176945921	39.89461740692491	54.6380788693531	57.91898823554367	53.98943240655772	40.069730647749864	35.45240121438858	47.71637757123101	55.63768855305125	53.30134907086851	53.38857776075989	49.43280109508912	52.99556379723943	48.916790255488124	51.002269649753	53.09502295931965	39.91520096893681	55.78611615553436	51.74917360425128	53.32507832382893	42.62816216339557	58.730249666857276	39.307805369992266	57.138855645269444	37.45626809419551	39.094106066050145	37.80534064954391	37.71271916053719	38.73509570327937	57.483816049098664	53.42641276526555	54.34479698062674	57.671852701800375	50.84328980324221	52.37125043659207	54.80242709970509	54.911188056319176	36.98416976873646	50.19283923441402	54.12910829400636	55.5093957892655	49.01945894007949	51.36785605046853	52.448375546892926	65.89273436686481	62.44911067781138	65.53070638550852	47.64958709388184	47.34104195082162	52.144198662107314	48.28229120179083	51.090494748662465	52.0935434232628	48.99459017572529	49.150999567556255	50.628438410129306	44.04594893601852	60.28674492246114	46.385633367857366	63.71998485167577	65.964253044516	62.90133823338228	45.76740280250434	47.153508850823684	61.894701338598594	61.103772577167135	67.39532986147304	63.07783798213581	63.157425452272776	62.51070064588927	63.43570382357476	61.049355129944786	46.297101159117645	61.743951958841535	61.058552281023324	59.865751834566154	61.72244862982869	61.06429891961187	63.899863618760136	60.24031326139245	60.03742513688092	46.66213388954772	61.67753923941564	62.74987876818945	61.964804592736726	62.53298293806073	63.16513771811849	63.08351788842205	59.10246041810607	59.18161833007801	59.59736199450576	59.15349168985647	58.84484275421072	58.68459722951777	59.597079390896255	59.390451902513966	59.6507113690303	47.29190945792312	60.72141573237133	62.36202834114212	46.4836477432427	47.0720775078745	46.506276062102366	63.41323999770128	62.952317936737636	59.0075402864285	60.208039194574376	60.47086024118213	61.01249097544178	61.05731915918942	59.795365502480465	60.321014540961315	60.517231591479344
Glycan biosynthesis and metabolism	77.6819610732117	79.21879006410764	91.0849444246629	23.262667374501	22.991397279649878	20.39017200503874	39.29199581265574	38.59628077021317	0.0	0.0	0.0	20.395499135770788	61.939288554965394	59.674259029927086	75.2410199419804	20.397124959136374	58.20168999490718	61.984956454413165	22.450177379475328	20.84467188388095	22.659499097203582	80.04166384257704	41.545893822216655	0.0	40.4600250028524	76.96904488402001	79.12951731388668	93.38084754688172	78.05055586292929	57.27277903041824	0.0	77.89538761337019	70.3815243534884	92.53813493201481	86.41132383205255	90.12406757920719	82.3991927718335	86.70274880829474	74.99336505841951	61.57578783619563	38.849677854811304	73.88526264834762	73.65024637369628	42.593951183101126	41.32930502067251	41.82822822025091	78.24835631659147	76.9601075490464	83.50024625149119	77.28582961575889	76.3990081170444	77.8673975710185	78.38631021160042	91.0669636086014	75.28224980185693	94.24373030766495	88.47871396950805	89.23238788701782	92.82612441450797	74.75400329416514	59.10864726645646	89.74201971812077	56.29475439460415	80.028412414479	84.03144242027854	90.00277820325627	90.15165971033342	83.57144743069787	79.97670979536281	83.04861272587304	82.01820819449567	83.88517417453696	89.99380639930268	82.90829114585503	87.13715223452462	69.59662894009422	86.13558384373246	85.93140184784953	85.74644994259782	76.88330101485528	76.00013149301145	77.94880061153235	79.11390913887865	82.06415620155823	77.13782422510366	78.33890192182365	80.62952816237402	77.96764670103441	77.71476242806527	79.37969548021366	78.10763157324423	78.4534641202523	78.1396030153383	77.39315602562141	76.24088424096217	79.96459680279622	77.39663611253707	77.14396058398684	76.04349266047197	77.48221884796827	76.91608848737599	78.62431357542889	76.56431308745636	75.63650911222535	79.52298338350425	77.06716996279606	78.33385475182207	76.81133457579783	77.40286281000847	77.7447426173919	78.26588942803467	75.8213076344321	75.29579276905885	75.48267144057722	75.14094285372349	75.19412170751531	75.5070256521648	75.77811379303229	75.14235752219358	74.66422823969302	80.66750908896502	76.80337229984322	76.91168177748867	79.87064943098062	80.43010849858352	79.29064195882793	78.18946263934171	76.77798353268217	74.8348885284246	74.36202681114102	74.5416363892697	74.72807539817614	74.47958877019703	74.25952401724646	74.6565076848537	74.48958720952149
