Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
G5R1_MAIN_01AUG2016_LD1.stat	5975345	5924069	1456152	1445666	3022251	33663	2084849	256653	503476	82.4	251738.0	1042424.5	128326.5
G5R1_MAIN_03OCT2016_LD1.stat	8615788	8528146	6957303	457799	1113044	9540	13668862	73292	153372	19.82	76686.0	6834431.0	36646.0
G5R1_MAIN_09MAY2016_LD1.stat	6888824	6828883	2222145	1508784	3097954	36624	3624079	268840	478123	73.46	239061.5	1812039.5	134420.0
G5R1_MAIN_12JUL2016_LD1.stat	10182583	10042351	2022000	2594162	5426189	68503	2384468	495577	1026949	88.09	513474.5	1192234.0	247788.5
G5R1_MAIN_12SEP2016_LD1.stat	8024208	7957864	4843759	1002139	2111966	18921	9179491	168248	301937	42.27	150968.5	4589745.5	84124.0
G5R1_MAIN_20JUN2016_LD1.stat	6491964	6441413	1835643	1516009	3089761	32828	2856505	261884	487241	77.82	243620.5	1428252.5	130942.0
G5R1_MAIN_22AUG2016_LD1.stat	9820679	9695253	3227852	1988998	4478403	55610	5138331	381779	824374	73.38	412187.0	2569165.5	190889.5
G5R1_MAIN_31MAY2016_LD1.stat	6371712	6310890	1303276	1732109	3275505	51596	1536426	320143	646791	87.81	323395.5	768213.0	160071.5
G5R1_NF_01AUG2016_LD1.stat	6392319	6329412	1580606	1560091	3188715	37745	2257471	280998	547253	82.15	273626.5	1128735.5	140499.0
G5R1_NF_03OCT2016_LD1.stat	8545747	8471997	5891108	793735	1787154	14315	11370399	132548	250639	32.84	125319.5	5685199.5	66274.0
G5R1_NF_09MAY2016_LD1.stat	5517618	5473795	3636310	606842	1230643	18914	6879297	121013	234482	37.16	117241.0	3439648.5	60506.5
G5R1_NF_12JUL2016_LD1.stat	6748882	6688179	1320271	1752400	3615508	39997	1650170	310813	599565	87.65	299782.5	825085.0	155406.5
G5R1_NF_12SEP2016_LD1.stat	9196582	9128071	3915251	1668747	3544073	29203	7014047	272467	485582	61.53	242791.0	3507023.5	136233.5
G5R1_NF_20JUN2016_LD1.stat	6171331	6116500	1282359	1624646	3209495	40969	1636767	291360	554653	86.61	277326.5	818383.5	145680.0
G5R1_NF_22AUG2016_LD1.stat	6147585	6088961	1845864	1343729	2899368	29998	2924930	240872	465930	75.96	232965.0	1462465.0	120436.0
G5R1_NF_31MAY2016_LD1.stat	7874532	7776723	1582351	2093678	4100694	57544	1911438	387108	751068	87.65	375534.0	955719.0	193554.0
G5R2_MAIN_01AUG2016_LD1.stat	12890353	12746203	3619106	3061870	6065227	76051	5492037	545378	1048695	78.43	524347.5	2746018.5	272689.0
G5R2_MAIN_03OCT2016_LD1.stat	8950200	8873165	6960913	614411	1297841	13859	13564722	111252	218134	23.52	109067.0	6782361.0	55626.0
G5R2_MAIN_09MAY2016_LD1.stat	5733910	5682372	3473446	712198	1496728	21090	6474973	148098	281641	43.02	140820.5	3237486.5	74049.0
G5R2_MAIN_12JUL2016_LD1.stat	6816783	6753075	1310031	1818576	3624468	50139	1530518	329657	659609	88.65	329804.5	765259.0	164828.5
G5R2_MAIN_12SEP2016_LD1.stat	9551079	9486264	3690990	1837668	3957606	32807	6451672	307112	557582	65.95	278791.0	3225836.0	153556.0
G5R2_MAIN_20JUN2016_LD1.stat	6405347	6347927	1217875	1707988	3422064	38339	1517245	293998	547829	88.04	273914.5	758622.5	146999.0
G5R2_MAIN_22AUG2016_LD1.stat	13948226	13770800	4990962	2689701	6090137	60203	8397597	481061	982860	69.45	491430.0	4198798.5	240530.5
G5R2_MAIN_31MAY2016_LD1.stat	12103778	11950005	2300375	3310640	6338990	81232	2793577	577471	1067238	88.29	533619.0	1396788.5	288735.5
G5R2_NF_01AUG2016_LD1.stat	15962779	15787307	3527345	4096870	8163092	92069	4861805	704861	1303886	84.58	651943.0	2430902.5	352430.5
G5R2_NF_03OCT2016_LD1.stat	8971316	8899698	6486403	745044	1668251	13475	12583048	126687	236121	29.27	118060.5	6291524.0	63343.5
G5R2_NF_09MAY2016_LD1.stat	6777073	6700488	3020432	1220338	2459718	41653	5214349	242059	501150	61.07	250575.0	2607174.5	121029.5
G5R2_NF_12JUL2016_LD1.stat	6731267	6671812	1282280	1729640	3659892	38331	1605511	300233	582154	87.96	291077.0	802755.5	150116.5
G5R2_NF_12SEP2016_LD1.stat	8984702	8925694	4143314	1536678	3245702	27991	7524920	252993	452733	57.81	226366.5	3762460.0	126496.5
G5R2_NF_20JUN2016_LD1.stat	6301455	6249934	1249923	1659379	3340632	44367	1525278	295339	590495	87.78	295247.5	762639.0	147669.5
G5R2_NF_22AUG2016_LD1.stat	4765709	4718274	1265037	1116687	2336550	20399	1976894	184386	327996	79.02	163998.0	988447.0	92193.0
G5R2_NF_31MAY2016_LD1.stat	9456469	9358299	1923421	2511340	4923538	75510	2217111	485541	993170	88.12	496585.0	1108555.5	242770.5
G5R3_MAIN_01AUG2016_LD1.stat	6112500	6060102	1561741	1509213	2989148	40591	2222715	277660	541925	81.65	270962.5	1111357.5	138830.0
G5R3_MAIN_03OCT2016_LD1.stat	7988348	7906366	6674752	392616	838998	8343	13126365	70369	136084	16.95	68042.0	6563182.5	35184.5
G5R3_MAIN_09MAY2016_LD1.stat	5482626	5436507	1281435	1354590	2800482	43951	1692484	262654	519830	84.41	259915.0	846242.0	131327.0
G5R3_MAIN_12JUL2016_LD1.stat	6241057	6182923	1174216	1588331	3420376	34419	1464700	279124	535770	88.14	267885.0	732350.0	139562.0
G5R3_MAIN_12SEP2016_LD1.stat	7995169	7938601	3839040	1285111	2814450	19948	7100308	196090	341786	55.23	170893.0	3550154.0	98045.0
G5R3_MAIN_20JUN2016_LD1.stat	6496272	6442699	1233048	1760037	3449614	42577	1483719	313778	583445	88.48	291722.5	741859.5	156889.0
G5R3_MAIN_22AUG2016_LD1.stat	5313821	5255407	2735831	799876	1719700	15853	5038921	139219	261816	52.0	130908.0	2519460.5	69609.5
G5R3_MAIN_31MAY2016_LD1.stat	6644149	6582349	1380358	1838851	3363140	63227	1538761	353183	742318	88.3	371159.0	769380.5	176591.5
G5R3_NF_01AUG2016_LD1.stat	5960300	5905510	1505950	1499344	2900216	41977	2097393	279217	551336	82.23	275668.0	1048696.5	139608.5
G5R3_NF_03OCT2016_LD1.stat	9513326	9441689	4544311	1504000	3393378	25368	8326331	252479	459076	55.85	229538.0	4163165.5	126239.5
G5R3_NF_09MAY2016_LD1.stat	6259674	6196018	1647590	1486118	3062310	42979	2388348	281741	539133	80.7	269566.5	1194174.0	140870.5
G5R3_NF_12JUL2016_LD1.stat	6482089	6426349	1260190	1676984	3489175	39320	1551100	301686	588954	87.92	294477.0	775550.0	150843.0
G5R3_NF_12SEP2016_LD1.stat	8219618	8156444	4534873	1130881	2490690	20146	8480179	193074	356201	47.96	178100.5	4240089.5	96537.0
G5R3_NF_20JUN2016_LD1.stat	6368375	6317596	1634875	1572404	3110317	39921	2352358	289202	548348	81.38	274174.0	1176179.0	144601.0
G5R3_NF_22AUG2016_LD1.stat	5974678	5920203	2618905	1072643	2228655	25018	4620357	191366	376051	60.95	188025.5	2310178.5	95683.0
G5R3_NF_31MAY2016_LD1.stat	5809567	5755740	1142943	1583945	3028852	38636	1437524	277027	494063	87.5	247031.5	718762.0	138513.5
G5R4_MAIN_01AUG2016_LD1.stat	6369054	6306715	1727970	1571056	3007689	51862	2435594	295180	621442	80.67	310721.0	1217797.0	147590.0
G5R4_MAIN_03OCT2016_LD1.stat	11666749	11550331	8899771	852411	1798149	19326	17317833	150953	292104	24.99	146052.0	8658916.5	75476.5
G5R4_MAIN_09MAY2016_LD1.stat	5369217	5324879	1197780	1334979	2792120	38844	1578546	250887	488439	85.16	244219.5	789273.0	125443.5
G5R4_MAIN_12JUL2016_LD1.stat	7038849	6976158	1448500	1802097	3725561	37731	1940227	308590	572721	86.08	286360.5	970113.5	154295.0
G5R4_MAIN_12SEP2016_LD1.stat	7661763	7595791	5119995	813128	1662668	15763	9825193	136815	246456	35.27	123228.0	4912596.5	68407.5
G5R4_MAIN_20JUN2016_LD1.stat	7800218	7732527	1591137	2027265	4114125	49360	2033463	362162	687929	86.83	343964.5	1016731.5	181081.0
G5R4_MAIN_22AUG2016_LD1.stat	5949892	5898471	2523538	1098392	2276541	22756	4474681	184826	342057	62.04	171028.5	2237340.5	92413.0
G5R4_MAIN_31MAY2016_LD1.stat	6756862	6691560	1332557	1877796	3481207	57276	1540442	347119	663001	88.47	331500.5	770221.0	173559.5
G5R4_NF_01AUG2016_LD1.stat	13302370	13151939	3072893	3331311	6747735	88651	4137597	611248	1219639	84.25	609819.5	2068798.5	305624.0
G5R4_NF_03OCT2016_LD1.stat	7908875	7838486	7059512	251541	527433	4433	13991491	42673	75994	10.73	37997.0	6995745.5	21336.5
G5R4_NF_09MAY2016_LD1.stat	5787453	5737475	1620589	1353164	2763722	47393	2324669	267095	554628	79.73	277314.0	1162334.5	133547.5
G5R4_NF_12JUL2016_LD1.stat	6518491	6460341	1462439	1617602	3380300	38351	1967718	296123	584335	84.76	292167.5	983859.0	148061.5
G5R4_NF_12SEP2016_LD1.stat	7612863	7547720	3911408	1193753	2442559	24415	7191368	205609	377009	52.3	188504.5	3595684.0	102804.5
G5R4_NF_20JUN2016_LD1.stat	6997328	6936916	1348764	1903309	3684843	45806	1672271	329571	604074	87.94	302037.0	836135.5	164785.5
G5R4_NF_22AUG2016_LD1.stat	12120115	11972027	3389837	2764052	5818138	62974	5224274	484417	945035	78.15	472517.5	2612137.0	242208.5
G5R4_NF_31MAY2016_LD1.stat	5980143	5931777	1159475	1686016	3086286	41825	1426921	294951	513428	87.97	256714.0	713460.5	147475.5
G6R1_MAIN_01AUG2016_LD1.stat	5699402	5657378	1541652	1089881	3025845	40773	1923929	335324	742505	82.98	371252.5	961964.5	167662.0
G6R1_MAIN_03OCT2016_LD1.stat	9544999	9488885	2461597	1741418	5285870	51850	3303023	499535	1016936	82.58	508468.0	1651511.5	249767.5
G6R1_MAIN_07NOV2016_LD1.stat	6977440	6905794	5755987	295521	854286	8667	11238404	87056	169180	18.58	84590.0	5619202.0	43528.0
G6R1_MAIN_09MAY2016_LD1.stat	6765885	6713739	1610381	1354123	3749235	46666	1894566	401737	831127	85.88	415563.5	947283.0	200868.5
G6R1_MAIN_12JUL2016_LD1.stat	5421645	5378728	1452835	1024644	2901249	39090	1761603	325080	740807	83.61	370403.5	880801.5	162540.0
G6R1_MAIN_12SEP2016_LD1.stat	8203953	8157259	2524893	1449713	4182653	42646	3738307	412192	813995	77.05	406997.5	1869153.5	206096.0
G6R1_MAIN_20JUN2016_LD1.stat	6054246	6010405	1447319	1214203	3348883	43976	1664886	364186	777614	86.14	388807.0	832443.0	182093.0
G6R1_MAIN_22AUG2016_LD1.stat	5632749	5586492	1624041	1037713	2924738	34904	2198847	317635	661792	80.3	330896.0	1099423.5	158817.5
G6R1_MAIN_31MAY2016_LD1.stat	5374090	5336461	1251574	1086561	2998326	36898	1493392	313668	622292	86.0	311146.0	746696.0	156834.0
G6R1_NF_01AUG2016_LD1.stat	5973476	5928912	1547247	1151939	3229726	43758	1858355	356857	791766	84.32	395883.0	929177.5	178428.5
G6R1_NF_03OCT2016_LD1.stat	8692661	8637188	2735206	1376814	4525168	39149	4277880	377917	736317	75.2	368158.5	2138940.0	188958.5
G6R1_NF_07NOV2016_LD1.stat	6919583	6858763	5312211	385084	1161468	10203	10296128	107520	200368	24.89	100184.0	5148064.0	53760.0
G6R1_NF_09MAY2016_LD1.stat	7586108	7527497	1753776	1513495	4260226	51193	2021249	448858	935059	86.57	467529.5	1010624.5	224429.0
G6R1_NF_12JUL2016_LD1.stat	6645288	6590819	1599916	1304982	3685921	44772	1893643	391435	825210	85.63	412605.0	946821.5	195717.5
G6R1_NF_12SEP2016_LD1.stat	9070421	9016718	3077203	1472302	4467213	37137	4974284	391033	714815	72.38	357407.5	2487142.0	195516.5
G6R1_NF_20JUN2016_LD1.stat	7194077	7136929	1743329	1420818	3972782	48552	2067711	424111	897732	85.51	448866.0	1033855.5	212055.5
G6R1_NF_22AUG2016_LD1.stat	9019930	8977689	2388970	1676297	4912422	47243	3324943	466485	892026	81.46	446013.0	1662471.5	233242.5
G6R1_NF_31MAY2016_LD1.stat	6338352	6292542	1489763	1279759	3523020	41648	1804875	367530	723825	85.65	361912.5	902437.5	183765.0
G6R2_MAIN_01AUG2016_LD1.stat	6132210	6082749	1698715	1157020	3227014	43956	2152793	357133	799592	82.29	399796.0	1076396.5	178566.5
G6R2_MAIN_03OCT2016_LD1.stat	9286593	9219877	3357666	1444667	4417544	41205	5387384	415597	829941	70.74	414970.5	2693692.0	207798.5
G6R2_MAIN_07NOV2016_LD1.stat	8798594	8733100	4571546	1050358	3111196	29474	8202283	300569	581292	52.97	290646.0	4101141.5	150284.5
G6R2_MAIN_09MAY2016_LD1.stat	6742621	6692593	1602062	1345122	3745409	47626	1865188	397591	846093	86.06	423046.5	932594.0	198795.5
G6R2_MAIN_12JUL2016_LD1.stat	12089587	11970111	2895603	2347362	6727146	78032	3438004	702734	1494404	85.62	747202.0	1719002.0	351367.0
G6R2_MAIN_12SEP2016_LD1.stat	9579359	9526453	2826535	1702438	4997480	50650	4089727	490473	971570	78.51	485785.0	2044863.5	245236.5
G6R2_MAIN_20JUN2016_LD1.stat	13469946	13325217	3241993	2670435	7412789	92422	3881782	785245	1632115	85.41	816057.5	1940891.0	392622.5
G6R2_MAIN_22AUG2016_LD1.stat	11064845	10933944	3254837	1989952	5689155	66641	4533231	588213	1254948	79.22	627474.0	2266615.5	294106.5
G6R2_MAIN_31MAY2016_LD1.stat	6781641	6729977	1505675	1371904	3852398	42263	1896177	364515	666132	85.91	333066.0	948088.5	182257.5
G6R2_NF_01AUG2016_LD1.stat	6478379	6419666	1702790	1240813	3476063	44493	2135587	372488	808519	83.35	404259.5	1067793.5	186244.0
G6R2_NF_03OCT2016_LD1.stat	9223124	9172480	2874812	1498645	4799023	44312	4431806	417901	811293	75.81	405646.5	2215903.0	208950.5
G6R2_NF_07NOV2016_LD1.stat	7435367	7370105	5478922	483954	1407229	13488	10528622	140108	262138	28.51	131069.0	5264311.0	70054.0
G6R2_NF_09MAY2016_LD1.stat	13450044	13316083	3166964	2673265	7475854	94385	3666061	790979	1688118	86.22	844059.0	1833030.5	395489.5
G6R2_NF_12JUL2016_LD1.stat	18074763	17866546	4280382	3497591	10088573	118777	5045081	1036546	2241583	85.86	1120791.5	2522540.5	518273.0
G6R2_NF_12SEP2016_LD1.stat	9923636	9870656	2774511	1816188	5279957	52384	3908634	518357	1017263	80.18	508631.5	1954317.0	259178.5
G6R2_NF_20JUN2016_LD1.stat	6736441	6682956	1607588	1334793	3740575	45159	1940048	386271	798539	85.47	399269.5	970024.0	193135.5
G6R2_NF_22AUG2016_LD1.stat	9752171	9700669	2595664	1801206	5303799	47381	3684116	493328	919122	80.98	459561.0	1842058.0	246664.0
G6R2_NF_31MAY2016_LD1.stat	7846629	7771064	1816055	1573889	4381120	54639	2127264	454252	941316	86.3	470658.0	1063632.0	227126.0
G6R3_MAIN_01AUG2016_LD1.stat	5482768	5440967	1402848	1064358	2973761	39434	1666895	328141	731792	84.67	365896.0	833447.5	164070.5
G6R3_MAIN_03OCT2016_LD1.stat	7659029	7608735	2316489	1318886	3973360	38885	3375044	392504	787660	77.79	393830.0	1687522.0	196252.0
G6R3_MAIN_07NOV2016_LD1.stat	7885458	7832562	4173975	896752	2761835	23725	7607045	241978	451477	51.38	225738.5	3803522.5	120989.0
G6R3_MAIN_09MAY2016_LD1.stat	7199181	7145090	1701816	1464125	3979149	53488	1950376	434284	911996	86.34	455998.0	975188.0	217142.0
G6R3_MAIN_12JUL2016_LD1.stat	5955863	5912717	1438986	1177116	3296615	43212	1645834	356143	789571	86.07	394785.5	822917.0	178071.5
G6R3_MAIN_12SEP2016_LD1.stat	7478247	7433032	2494299	1254768	3683965	35988	3865913	355145	695564	73.95	347782.0	1932956.5	177572.5
G6R3_MAIN_20JUN2016_LD1.stat	7213144	7145612	1712295	1417648	4015669	48108	2019406	423645	885323	85.86	442661.5	1009703.0	211822.5
G6R3_MAIN_22AUG2016_LD1.stat	4773133	4730626	1364908	866940	2498778	25932	1939734	253475	484743	79.46	242371.5	969867.0	126737.5
G6R3_MAIN_31MAY2016_LD1.stat	6388833	6331750	1532502	1280206	3519042	44993	1876889	370429	727700	85.16	363850.0	938444.5	185214.5
G6R3_NF_01AUG2016_LD1.stat	5758226	5711239	1804507	1027531	2879201	37802	2515244	317300	700866	77.96	350433.0	1257622.0	158650.0
G6R3_NF_03OCT2016_LD1.stat	9245117	9198716	2427992	1713690	5057034	47461	3287389	498172	975501	82.11	487750.5	1643694.5	249086.0
G6R3_NF_07NOV2016_LD1.stat	21454682	20875176	13363356	1957360	5554460	82553	24376663	634916	1550027	41.43	775013.5	12188331.5	317458.0
G6R3_NF_09MAY2016_LD1.stat	6895991	6837832	1583997	1391488	3862347	47531	1834299	407015	831618	86.58	415809.0	917149.5	203507.5
G6R3_NF_12JUL2016_LD1.stat	5742452	5700114	1427727	1118545	3153842	38465	1734292	335607	708625	84.78	354312.5	867146.0	167803.5
G6R3_NF_12SEP2016_LD1.stat	7733155	7685321	2242534	1404783	4038004	42458	3157665	413319	829168	79.43	414584.0	1578832.5	206659.5
G6R3_NF_20JUN2016_LD1.stat	6760602	6703466	1659684	1328082	3715700	42490	2063828	388663	781897	84.6	390948.5	1031914.0	194331.5
G6R3_NF_22AUG2016_LD1.stat	9284137	9235360	2639239	1688743	4907378	47235	3798630	470858	914520	79.41	457260.0	1899315.0	235429.0
G6R3_NF_31MAY2016_LD1.stat	5775993	5736908	1382425	1169651	3184832	40203	1657830	340325	686289	85.55	343144.5	828915.0	170162.5
G6R4_MAIN_01AUG2016_LD1.stat	5959915	5908281	1708902	1103453	3095926	39221	2286393	335341	717628	80.62	358814.0	1143196.5	167670.5
G6R4_MAIN_03OCT2016_LD1.stat	10815470	10735815	3743428	1729641	5262746	53291	5843007	511464	1025803	72.75	512901.5	2921503.5	255732.0
G6R4_MAIN_07NOV2016_LD1.stat	7654693	7583071	5797367	451814	1333890	13091	11186062	130584	251906	26.19	125953.0	5593031.0	65292.0
G6R4_MAIN_09MAY2016_LD1.stat	12499818	12361687	2856755	2533104	6971828	86453	3362351	727701	1450552	86.36	725276.0	1681175.5	363850.5
G6R4_MAIN_12JUL2016_LD1.stat	6550000	6499072	1609380	1283217	3606475	44978	1929334	382707	816763	85.15	408381.5	964667.0	191353.5
G6R4_MAIN_12SEP2016_LD1.stat	9747989	9689783	3691284	1535878	4462621	49659	5872234	480640	930376	69.66	465188.0	2936117.0	240320.0
G6R4_MAIN_20JUN2016_LD1.stat	6749341	6695207	1830008	1291712	3573487	45933	2420116	375021	773013	81.91	386506.5	1210058.0	187510.5
G6R4_MAIN_22AUG2016_LD1.stat	12118343	12007829	3721614	2160757	6125458	74873	5274667	645579	1373236	78.0	686618.0	2637333.5	322789.5
G6R4_MAIN_31MAY2016_LD1.stat	6666347	6607123	1681607	1312124	3613392	47965	2080217	383877	803190	84.24	401595.0	1040108.5	191938.5
G6R4_NF_01AUG2016_LD1.stat	13242892	13108055	3678518	2445919	6983618	81897	4905754	730844	1556644	81.26	778322.0	2452877.0	365422.0
G6R4_NF_03OCT2016_LD1.stat	9160343	9101083	3551014	1383590	4166479	38114	5888101	396550	741149	67.6	370574.5	2944050.5	198275.0
G6R4_NF_07NOV2016_LD1.stat	7742928	7669227	5589271	533522	1546434	15191	10700795	154977	292388	30.18	146194.0	5350397.5	77488.5
G6R4_NF_09MAY2016_LD1.stat	6657823	6607949	1531240	1367095	3709614	50180	1718956	401578	841586	86.98	420793.0	859478.0	200789.0
G6R4_NF_12JUL2016_LD1.stat	14210813	14071595	3489645	2763636	7818314	94458	4215905	822608	1751861	85.0	875930.5	2107952.5	411304.0
G6R4_NF_12SEP2016_LD1.stat	9896586	9844371	2786788	1767111	5290472	46027	4119216	480535	881771	79.05	440885.5	2059608.0	240267.5
G6R4_NF_20JUN2016_LD1.stat	12544817	12452913	2790183	2311945	7350785	52102	4013587	556051	906524	83.87	453262.0	2006793.5	278025.5
G6R4_NF_22AUG2016_LD1.stat	10288097	10229978	2836757	1890436	5502785	53439	4025670	532285	1008681	80.3	504340.5	2012835.0	266142.5
G6R4_NF_31MAY2016_LD1.stat	7641672	7581116	1650310	1526959	4403847	41472	2155249	390391	672036	85.77	336018.0	1077624.5	195195.5
